rm,Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
12,E'Twaun Moore,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Ty-Shon Alexander,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Dario Šarić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Zion Williamson,38:18,11,20,0.550,0,1,0.000,10,15,0.667,4,10,14,1,1,0,3,1,32,-13
1,Brandon Ingram,37:03,7,17,0.412,4,8,0.500,10,11,0.909,0,2,2,3,0,0,4,0,28,2
2,Lonzo Ball,33:26,2,8,0.250,2,8,0.250,0,0,,0,2,2,6,2,1,3,4,6,-3
3,Eric Bledsoe,33:10,2,10,0.200,1,6,0.167,0,0,,0,2,2,6,1,0,5,2,5,-3
4,Steven Adams,32:22,3,3,1.000,0,0,,0,0,,4,5,9,1,2,1,2,2,6,5
6,Josh Hart,28:40,5,10,0.500,2,6,0.333,0,0,,2,7,9,0,1,0,0,3,12,-10
7,J.J. Redick,24:24,1,7,0.143,1,5,0.200,5,5,1.000,0,2,2,0,1,0,1,6,8,-27
8,Nicolò Melli,9:22,0,2,0.000,0,1,0.000,1,2,0.500,0,0,0,0,0,0,0,2,1,-7
9,Jaxson Hayes,3:15,0,1,0.000,0,0,,0,0,,1,0,1,1,0,0,1,0,0,-9
10,Sindarius Thornwell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,Naji Marshall,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Kira Lewis Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Nickeil Alexander-Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Willy Hernangómez,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Tyler Herro,32:20,3,10,0.300,2,4,0.500,3,3,1.000,0,2,2,3,1,0,3,1,11,0
1,Duncan Robinson,32:02,8,14,0.571,7,13,0.538,0,0,,0,5,5,0,0,0,1,3,23,5
2,Bam Adebayo,28:13,5,9,0.556,0,0,,7,8,0.875,0,4,4,2,2,1,3,2,17,9
3,Meyers Leonard,19:48,3,5,0.600,3,5,0.600,0,0,,0,2,2,1,0,0,1,5,9,1
4,Jimmy Butler,16:13,2,7,0.286,0,1,0.000,0,0,,3,3,6,5,1,0,1,0,4,-8
6,Avery Bradley,28:27,4,7,0.571,2,5,0.400,2,3,0.667,0,2,2,4,2,0,2,2,12,23
7,Goran Dragić,27:09,6,11,0.545,0,4,0.000,6,7,0.857,0,2,2,9,4,0,3,1,18,21
8,Andre Iguodala,26:13,2,5,0.400,2,5,0.400,0,0,,0,7,7,3,1,0,2,3,6,17
9,Precious Achiuwa,19:28,5,7,0.714,0,0,,1,2,0.500,1,2,3,2,0,1,1,6,11,4
10,Maurice Harkless,9:29,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-7
11,KZ Okpala,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
12,Chris Silva,0:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
13,Kelly Olynyk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Kendrick Nunn,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Udonis Haslem,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Stephen Curry,28:58,6,17,0.353,2,10,0.200,5,5,1.000,0,4,4,6,1,0,2,2,19,-24
1,James Wiseman,25:03,5,11,0.455,3,4,0.750,5,6,0.833,3,5,8,0,0,3,2,4,18,-16
2,Eric Paschall,24:59,3,8,0.375,0,3,0.000,1,1,1.000,1,1,2,1,1,0,1,2,7,-23
3,Andrew Wiggins,24:54,6,18,0.333,0,4,0.000,0,0,,3,3,6,0,1,0,1,3,12,-19
4,Kelly Oubre Jr.,19:46,1,10,0.100,0,5,0.000,1,2,0.500,1,4,5,1,1,0,2,3,3,-15
6,Jordan Poole,19:02,4,11,0.364,1,6,0.167,2,2,1.000,0,1,1,0,0,0,0,1,11,-15
7,Brad Wanamaker,19:02,4,7,0.571,1,2,0.500,2,2,1.000,0,1,1,2,1,0,0,3,11,-15
8,Damion Lee,18:54,2,4,0.500,2,4,0.500,3,3,1.000,0,2,2,1,0,0,1,0,9,-10
9,Mychal Mulder,17:34,1,4,0.250,1,4,0.250,0,0,,0,3,3,0,0,1,0,0,3,-15
10,Marquese Chriss,14:17,1,4,0.250,0,2,0.000,2,4,0.500,0,5,5,1,0,2,2,1,4,-19
11,Juan Toscano-Anderson,12:33,0,0,,0,0,,0,0,,1,2,3,1,0,0,0,1,0,-9
12,Kevon Looney,11:01,1,3,0.333,0,1,0.000,0,0,,1,2,3,0,0,0,0,1,2,-11
13,Kent Bazemore,3:56,0,2,0.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-4
0,Giannis Antetokounmpo,26:42,4,14,0.286,0,3,0.000,7,15,0.467,4,9,13,4,0,0,2,2,15,26
1,Khris Middleton,25:47,10,15,0.667,6,8,0.750,5,5,1.000,0,4,4,5,2,0,2,2,31,21
2,Jrue Holiday,25:22,6,8,0.750,0,1,0.000,0,0,,1,3,4,6,0,1,3,1,12,23
3,Donte DiVincenzo,19:59,5,8,0.625,3,5,0.600,0,0,,1,3,4,0,2,0,2,1,13,5
4,Brook Lopez,19:43,3,6,0.500,0,1,0.000,2,2,1.000,2,2,4,0,0,1,2,1,8,14
6,Bobby Portis,25:53,5,9,0.556,0,3,0.000,0,0,,1,11,12,2,1,1,1,1,10,20
7,Pat Connaughton,18:53,1,3,0.333,0,1,0.000,0,0,,0,7,7,2,0,0,0,0,2,27
8,D.J. Wilson,13:56,3,4,0.750,3,3,1.000,0,0,,0,4,4,0,0,1,1,2,9,12
9,D.J. Augustin,13:27,4,6,0.667,3,3,1.000,2,2,1.000,0,0,0,1,0,0,0,1,13,10
10,Bryn Forbes,13:21,3,5,0.600,2,3,0.667,0,0,,0,0,0,0,0,0,0,1,8,13
11,Jordan Nwora,9:46,2,6,0.333,1,3,0.333,2,2,1.000,0,1,1,0,0,0,1,2,7,6
12,Thanasis Antetokounmpo,9:46,2,2,1.000,0,0,,0,0,,0,0,0,1,0,0,1,1,4,6
13,Torrey Craig,9:46,0,1,0.000,0,0,,0,0,,0,4,4,0,0,0,1,2,0,6
14,Sam Merrill,7:37,2,3,0.667,2,2,1.000,0,0,,2,1,3,4,1,0,1,0,6,6
15,Jaylen Adams,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Kyrie Irving,33:24,13,21,0.619,7,10,0.700,4,4,1.000,1,5,6,8,1,0,1,4,37,31
1,Kevin Durant,33:24,9,16,0.563,3,4,0.750,8,9,0.889,0,4,4,3,2,0,2,3,29,31
2,Spencer Dinwiddie,29:12,2,6,0.333,0,2,0.000,2,2,1.000,0,4,4,2,2,1,2,3,6,16
3,Joe Harris,26:12,3,6,0.500,2,4,0.500,1,2,0.500,0,1,1,0,0,0,0,4,9,23
4,DeAndre Jordan,19:14,2,2,1.000,0,0,,0,2,0.000,2,5,7,2,0,2,1,2,4,5
6,Jarrett Allen,21:27,2,3,0.667,0,0,,5,6,0.833,5,6,11,1,0,4,1,1,9,18
7,Landry Shamet,19:25,1,3,0.333,1,3,0.333,2,2,1.000,0,3,3,1,0,1,1,0,5,1
8,Caris LeVert,18:34,5,8,0.625,0,2,0.000,0,0,,0,1,1,3,0,1,7,1,10,1
9,Jeff Green,14:32,1,3,0.333,0,1,0.000,0,0,,1,3,4,0,0,0,0,1,2,1
10,Taurean Prince,12:06,1,5,0.200,1,2,0.500,2,2,1.000,0,0,0,0,0,1,0,2,5,-7
11,Timothé Luwawu-Cabarrot,2:30,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,4
12,Tyler Johnson,2:30,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,4
13,Bruce Brown,2:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,4
14,Rodions Kurucs,2:30,0,1,0.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,4
15,Reggie Perry,2:30,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,4
0,Jayson Tatum,36:07,9,22,0.409,2,6,0.333,0,0,,1,7,8,2,1,1,3,1,20,-21
1,Marcus Smart,31:53,4,12,0.333,3,7,0.429,2,2,1.000,2,1,3,6,2,1,1,5,13,-24
2,Jaylen Brown,30:32,11,25,0.440,0,4,0.000,5,9,0.556,5,3,8,3,0,1,2,5,27,-25
3,Daniel Theis,23:21,1,3,0.333,0,2,0.000,0,0,,1,4,5,3,0,0,1,3,2,-14
4,Tristan Thompson,21:25,3,8,0.375,0,0,,2,2,1.000,5,3,8,0,0,1,1,5,8,-19
6,Payton Pritchard,25:06,3,5,0.600,1,2,0.500,0,0,,0,2,2,1,2,0,3,3,7,-9
7,Jeff Teague,21:18,0,5,0.000,0,1,0.000,0,0,,0,1,1,2,1,0,2,1,0,0
8,Grant Williams,18:33,2,4,0.500,0,1,0.000,0,0,,2,4,6,4,0,1,0,3,4,-4
9,Semi Ojeleye,14:17,2,7,0.286,1,2,0.500,4,6,0.667,3,1,4,1,0,0,0,1,9,-4
10,Aaron Nesmith,8:45,1,2,0.500,1,2,0.500,0,0,,0,0,0,0,0,0,1,0,3,-6
11,Javonte Green,3:43,1,3,0.333,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-6
12,Carsen Edwards,2:30,0,1,0.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
13,Tremont Waters,2:30,0,1,0.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-4
0,Luka Dončić,34:08,9,19,0.474,2,5,0.400,7,8,0.875,0,4,4,7,0,1,3,0,27,-14
1,Dorian Finney-Smith,29:22,4,9,0.444,2,6,0.333,0,0,,0,2,2,0,3,0,1,4,10,-19
2,Tim Hardaway Jr.,28:03,4,12,0.333,1,5,0.200,1,2,0.500,1,3,4,2,0,0,0,1,10,-9
3,Josh Richardson,27:23,6,12,0.500,2,5,0.400,3,3,1.000,1,1,2,2,2,0,0,4,17,-10
4,Dwight Powell,23:32,4,4,1.000,1,1,1.000,2,4,0.500,0,3,3,1,3,0,1,2,11,-11
6,Trey Burke,24:28,5,10,0.500,4,7,0.571,3,4,0.750,0,1,1,2,0,1,0,5,17,-13
7,Maxi Kleber,19:45,1,2,0.500,1,2,0.500,2,2,1.000,1,4,5,0,2,0,0,0,5,-8
8,Willie Cauley-Stein,14:05,0,3,0.000,0,0,,0,0,,0,2,2,0,2,1,1,3,0,-6
9,Jalen Brunson,13:52,2,5,0.400,0,1,0.000,0,0,,0,2,2,1,0,0,3,2,4,-9
10,James Johnson,11:52,1,1,1.000,0,0,,2,3,0.667,0,1,1,4,1,0,0,0,4,-7
11,Boban Marjanović,7:02,3,4,0.750,0,0,,0,0,,0,1,1,0,0,0,0,1,6,-2
12,Wes Iwundu,2:23,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-4
13,Josh Green,2:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
14,Tyrell Terry,1:42,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1
0,LeBron James,31:24,8,18,0.444,3,8,0.375,3,4,0.750,1,6,7,10,1,0,4,0,22,16
1,Anthony Davis,30:17,10,16,0.625,3,5,0.600,5,7,0.714,1,7,8,5,2,0,2,2,28,16
2,Dennis Schröder,25:07,7,11,0.636,1,3,0.333,3,4,0.750,1,1,2,6,0,0,4,5,18,8
3,Kentavious Caldwell-Pope,24:09,3,7,0.429,2,6,0.333,0,0,,0,0,0,2,1,2,0,4,8,14
4,Marc Gasol,19:34,0,1,0.000,0,1,0.000,2,2,1.000,2,7,9,0,0,0,1,2,2,8
6,Montrezl Harrell,28:26,10,13,0.769,0,1,0.000,2,5,0.400,5,2,7,2,1,0,2,4,22,15
7,Kyle Kuzma,21:54,5,11,0.455,3,4,0.750,0,0,,2,4,6,2,0,1,0,1,13,7
8,Wesley Matthews,16:25,1,3,0.333,0,2,0.000,0,0,,0,1,1,0,1,0,0,1,2,-3
9,Markieff Morris,15:20,3,5,0.600,3,5,0.600,0,0,,3,4,7,2,1,0,0,0,9,3
10,Alex Caruso,13:24,2,2,1.000,2,2,1.000,0,0,,0,1,1,2,2,0,2,2,6,10
11,Talen Horton-Tucker,6:51,1,2,0.500,1,1,1.000,2,2,1.000,1,0,1,2,0,1,1,2,5,9
12,Alfonzo McKinnie,2:23,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,4
13,Quinn Cook,2:23,0,1,0.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,4
14,Jared Dudley,2:23,0,0,,0,0,,0,0,,1,2,3,0,0,0,0,0,0,4
0,Paul George,36:56,8,14,0.571,5,9,0.556,2,2,1.000,0,5,5,9,1,0,6,1,23,14
1,Nicolas Batum,36:19,5,8,0.625,2,5,0.400,1,1,1.000,4,6,10,4,1,1,2,5,13,13
2,Kawhi Leonard,30:21,8,14,0.571,2,4,0.500,3,3,1.000,2,3,5,7,4,1,2,4,21,13
3,Patrick Beverley,21:33,3,6,0.500,2,5,0.400,1,2,0.500,1,1,2,0,2,0,1,5,9,5
4,Serge Ibaka,21:29,6,9,0.667,2,2,1.000,1,1,1.000,0,2,2,2,0,1,1,4,15,10
6,Lou Williams,23:38,3,7,0.429,2,4,0.500,0,0,,0,4,4,3,1,0,1,1,8,4
7,Luke Kennard,19:53,2,6,0.333,2,4,0.500,2,2,1.000,0,6,6,2,0,0,2,1,8,6
8,Ivica Zubac,19:05,2,2,1.000,0,0,,8,11,0.727,0,0,0,0,0,1,2,4,12,9
9,Reggie Jackson,13:03,2,6,0.333,1,4,0.250,0,0,,0,1,1,3,0,0,0,2,5,-4
10,Patrick Patterson,11:29,1,1,1.000,1,1,1.000,2,2,1.000,2,1,3,2,0,0,1,4,5,2
11,Terance Mann,4:44,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-4
12,Mfiondu Kabengele,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
13,Amir Coffey,0:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
14,Daniel Oturu,0:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
0,Nikola Jokić,38:29,7,13,0.538,1,4,0.250,9,11,0.818,3,6,9,10,1,0,5,2,24,-20
1,Jamal Murray,37:16,9,20,0.450,4,11,0.364,1,2,0.500,2,3,5,3,1,0,3,4,23,-3
2,Michael Porter Jr.,23:20,4,9,0.444,2,6,0.333,0,0,,0,3,3,2,2,0,0,2,10,-14
3,Gary Harris,22:24,1,5,0.200,0,2,0.000,0,0,,0,1,1,2,1,0,2,2,2,-12
4,Paul Millsap,21:53,3,5,0.600,1,2,0.500,1,2,0.500,0,1,1,0,0,0,0,4,8,-10
6,Monte Morris,30:21,3,7,0.429,1,3,0.333,6,7,0.857,1,0,1,4,1,0,0,0,13,-5
7,Will Barton,28:33,4,10,0.400,1,4,0.250,6,9,0.667,1,4,5,3,1,0,1,3,15,0
8,PJ Dozier,19:07,3,5,0.600,1,2,0.500,0,0,,1,1,2,0,0,0,1,2,7,1
9,Isaiah Hartenstein,9:31,3,5,0.600,0,0,,0,0,,2,3,5,1,0,1,0,1,6,7
10,Bol Bol,5:29,0,1,0.000,0,1,0.000,0,0,,0,0,0,0,0,0,0,0,0,-2
11,Facundo Campazzo,3:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-7
12,Markus Howard,0:26,0,1,0.000,0,1,0.000,0,0,,0,0,0,0,0,0,0,0,0,0
13,Vlatko Čančar,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Zeke Nnaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,R.J. Hampton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Trae Young,35:23,10,24,0.417,1,7,0.143,15,17,0.882,2,1,3,9,0,0,2,1,36,12
1,De'Andre Hunter,35:19,5,11,0.455,2,4,0.500,3,3,1.000,1,10,11,3,0,2,1,3,15,13
2,Cam Reddish,32:28,2,8,0.250,1,1,1.000,0,0,,1,2,3,2,1,1,3,3,5,0
3,Bogdan Bogdanović,32:13,2,10,0.200,1,9,0.111,2,2,1.000,1,8,9,2,1,0,1,0,7,0
4,John Collins,27:18,4,9,0.444,0,3,0.000,5,5,1.000,3,7,10,0,1,2,2,4,13,15
6,Kevin Huerter,26:36,8,12,0.667,4,5,0.800,1,1,1.000,0,2,2,4,1,0,3,5,21,14
7,Bruno Fernando,17:12,0,1,0.000,0,0,,0,0,,2,8,10,3,0,0,2,1,0,-1
8,Solomon Hill,12:58,2,5,0.400,1,2,0.500,1,1,1.000,1,1,2,0,0,0,0,2,6,3
9,Brandon Goodwin,11:58,1,4,0.250,1,2,0.500,2,4,0.500,1,0,1,0,0,0,0,0,5,-2
10,Nathan Knight,8:35,4,5,0.800,2,3,0.667,4,5,0.800,1,2,3,0,0,0,1,1,14,-4
11,Danilo Gallinari,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Skylar Mays,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Rajon Rondo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Kyle Anderson,36:26,8,15,0.533,2,6,0.333,2,2,1.000,1,13,14,1,0,2,0,2,20,1
1,Ja Morant,33:31,10,21,0.476,2,7,0.286,6,8,0.750,1,2,3,7,0,1,2,4,28,-2
2,Dillon Brooks,30:36,8,23,0.348,3,11,0.273,0,0,,0,2,2,2,2,0,2,6,19,7
3,Grayson Allen,29:28,2,6,0.333,1,5,0.200,5,5,1.000,3,1,4,2,0,0,0,0,10,-7
4,Jonas Valančiūnas,28:56,2,6,0.333,1,3,0.333,8,10,0.800,2,10,12,4,1,1,4,5,13,2
6,Desmond Bane,22:21,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,4,6,2
7,Brandon Clarke,20:06,2,8,0.250,0,1,0.000,0,0,,1,2,3,1,0,0,0,4,4,-15
8,Tyus Jones,15:59,0,4,0.000,0,2,0.000,0,0,,0,1,1,3,0,1,0,0,0,-8
9,John Konchar,15:39,1,3,0.333,1,3,0.333,4,4,1.000,1,3,4,0,2,1,1,1,7,-16
10,Gorgui Dieng,6:58,2,5,0.400,1,3,0.333,0,0,,0,2,2,0,0,0,1,1,5,-14
11,Sean McDermott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Xavier Tillman Sr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Luguentz Dort,34:34,5,12,0.417,1,4,0.250,4,4,1.000,2,3,5,2,1,1,0,3,15,16
1,Shai Gilgeous-Alexander,34:22,8,20,0.400,1,6,0.167,7,10,0.700,2,5,7,9,0,1,5,4,24,14
2,Darius Bazley,32:56,7,12,0.583,1,5,0.200,0,0,,1,9,10,1,1,2,1,1,15,9
3,Al Horford,28:33,1,5,0.200,0,2,0.000,1,1,1.000,0,13,13,3,0,1,1,0,3,3
4,George Hill,24:03,8,9,0.889,4,4,1.000,1,2,0.500,1,3,4,3,1,0,1,2,21,10
6,Théo Maledon,20:26,2,5,0.400,0,2,0.000,0,0,,0,0,0,2,2,0,4,2,4,-16
7,Hamidou Diallo,19:40,3,8,0.375,0,1,0.000,2,3,0.667,2,4,6,2,1,0,2,1,8,-9
8,Mike Muscala,18:10,5,8,0.625,2,4,0.500,2,2,1.000,0,2,2,1,2,0,0,3,14,2
9,Kenrich Williams,16:20,1,3,0.333,1,2,0.500,2,2,1.000,1,2,3,2,1,1,1,3,5,-6
10,Aleksej Pokusevski,10:56,0,6,0.000,0,6,0.000,0,0,,0,4,4,0,1,1,1,2,0,-13
11,Josh Hall,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Isaiah Roby,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Moses Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Darius Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Justin Jackson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
0,Gordon Hayward,34:41,5,13,0.385,0,5,0.000,2,3,0.667,0,5,5,7,2,0,3,3,12,-2
1,Devonte' Graham,33:50,4,16,0.250,3,7,0.429,3,5,0.600,1,2,3,10,1,0,2,2,14,14
2,Terry Rozier,31:18,5,15,0.333,2,7,0.286,7,9,0.778,1,2,3,2,2,1,0,2,19,-18
3,Bismack Biyombo,30:19,2,7,0.286,0,0,,1,2,0.500,3,6,9,4,0,2,0,2,5,-5
4,P.J. Washington,29:09,7,15,0.467,1,3,0.333,3,6,0.500,2,6,8,1,2,3,2,3,18,-7
6,Miles Bridges,23:07,5,8,0.625,4,4,1.000,0,0,,3,2,5,0,1,2,2,4,14,-4
7,Cody Martin,16:11,0,0,,0,0,,0,0,,1,2,3,1,0,0,0,1,0,3
8,Caleb Martin,15:23,4,8,0.500,1,2,0.500,1,1,1.000,0,1,1,0,2,0,1,1,10,7
9,LaMelo Ball,15:19,5,10,0.500,2,4,0.500,1,2,0.500,2,3,5,1,1,0,2,1,13,-11
10,Jalen McDaniels,10:43,0,1,0.000,0,0,,2,4,0.500,0,5,5,1,0,0,1,3,2,13
11,Vernon Carey Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Malik Monk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Nick Richards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
